Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Manish Pandey,LSG,https://sports.ndtv.com/cricket/players/1045-manish-pandey-playerprofile,Batsman ,4.60,Manish Krishnanand Pandey,"September 10, 1989 Nainital, Uttaranchal","32 Years, 6 Months, 5 Days",India,Right Handed,Right-arm medium,T20 Domestic,39,33,17,709,79* v SA,0,3,49,19,44.31,126.15,9,0,3,1,2,4,0,43,0,0/11 v RS,0,0,,10.75,,2
Ravi Bishnoi,LSG,https://sports.ndtv.com/cricket/players/112652-ravi-bishnoi-playerprofile,Bowler ,4.00,Ravi Bishnoi,"September 5, 2000 Jodhpur, Rajasthan","21 Years, 6 Months, 10 Days",India,Right Handed,Leg break googly,T20 International,4,0,0,,,0,0,0,0,,0.00,2,0,0,0,4,16,0,108,4,2/17 v WI,0,0,27.00,6.75,24.00,4
Evin Lewis,LSG,https://sports.ndtv.com/cricket/players/1682-evin-lewis-playerprofile,Batsman ,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dushmantha Chameera,LSG,https://sports.ndtv.com/cricket/players/51217-pathira-vasan-dushmantha-chameera-playerprofile,Bowler ,2.00,Pathira Vasan Dushmantha Chameera,"January 11, 1992 Ragama","30 Years, 2 Months, 5 Days",Sri Lanka,Right Handed,Right-arm fast,T20 International,47,23,11,85,24* v IND,0,0,8,1,7.08,95.50,10,0,3,1,47,166.3,0,1328,47,4/17 v ENG,1,0,28.25,7.97,21.25,47
Krishnappa Gowtham,LSG,https://sports.ndtv.com/cricket/players/61268-krishnappa-gowtham-playerprofile,All-Rounder ,0.90,Krishnappa Gowtham,"October 20, 1988 Bangalore, Karnataka","33 Years, 4 Months, 26 Days",India,Right Handed,Off break,T20 Domestic,48,44,8,649,134* v SL,1,0,42,45,18.02,161.44,27,0,3,0,47,156,2,1070,73,8/15 v SL,6,1,14.65,6.85,12.82,47
Kyle Mayers,LSG,https://sports.ndtv.com/cricket/players/50992-kyle-r-mayers-playerprofile,All-Rounder ,0.50,Kyle Rico Mayers,"September 8, 1992 Barbados","29 Years, 6 Months, 7 Days",West Indies,Left Handed,Right-arm medium,T20 International,7,7,1,142,40 v ENG,0,0,15,8,23.66,143.43,5,0,0,0,1,1,0,10,0,0/10 v NZ,0,0,,10.00,,1
Shahbaz Nadeem,LSG,https://sports.ndtv.com/cricket/players/1395-shahbaz-nadeem-playerprofile,Bowler ,0.50,Shahbaz Nadeem,"August 12, 1989 Bokaro, Bihar, India","32 Years, 7 Months, 3 Days",India,Right Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankit Rajpoot,LSG,https://sports.ndtv.com/cricket/players/1717-ankit-rajpoot-playerprofile,Bowler ,0.50,Ankit Singh Rajpoot,"December 4, 1993 Kanpur","28 Years, 3 Months, 11 Days",India,Right Handed,Right-arm fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohsin Khan,LSG,https://sports.ndtv.com/cricket/players/110599-mohsin-khan-playerprofile,Bowler ,0.20,Mohsin Khan,"July 15, 1998 Sambhal, Uttar Pradesh","23 Years, 8 Months, 0 Days",India,Left Handed,Left-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayush Badoni,LSG,https://sports.ndtv.com/cricket/players/113432-ayush-badoni-playerprofile,All-Rounder ,0.20,Ayush Badoni,"December 3, 1999 Delhi","22 Years, 3 Months, 13 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karan Sharma,LSG,https://sports.ndtv.com/cricket/players/113438-karan-sharma-playerprofile,All-Rounder ,0.20,Karan Sharma,"October 31, 1998 ","23 Years, 4 Months, 15 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mayank Yadav,LSG,https://sports.ndtv.com/cricket/players/115355-mayank-yadav-playerprofile,Bowler ,0.20,Mayank Prabhu Yadav,"June 17, 2002 New Delhi","19 Years, 8 Months, 28 Days",India,Right Handed,Right-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manan Vohra,LSG,https://sports.ndtv.com/cricket/players/1689-manan-vohra-playerprofile,Batsman ,0.20,Manan Vohra,"July 18, 1993 Chandigarh, Punjab","28 Years, 7 Months, 28 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashid Khan,GT,https://sports.ndtv.com/cricket/players/107477-rashid-khan-playerprofile,Bowler ,15.00,Rashid Khan Arman,"September 20, 1998 Nangarhar","23 Years, 5 Months, 25 Days",Afghanistan,Right Handed,Leg break googly,T20 International,58,29,13,183,33 v WI,0,0,11,11,11.43,118.83,20,0,6,1,58,219.2,1,1357,105,5/3 v IRE,10,2,12.92,6.18,12.53,58
Hardik Pandya,GT,https://sports.ndtv.com/cricket/players/64177-hardik-himanshu-pandya-playerprofile,All-Rounder ,15.00,Hardik Himanshu Pandya,"October 11, 1993 Choryasi, Gujarat","28 Years, 5 Months, 4 Days",India,Right Handed,Right-arm medium fast,T20 International,54,36,9,553,42* v AUS,0,0,34,32,20.48,146.29,34,0,2,2,47,139.5,1,1151,42,4/38 v ENG,2,0,27.40,8.23,19.97,47
Lockie Ferguson,GT,https://sports.ndtv.com/cricket/players/64149-lachlan-hammond-ferguson-playerprofile,Bowler ,10.00,Lachlan Hammond Ferguson,"June 13, 1991 Auckland","30 Years, 9 Months, 3 Days",New Zealand,Right Handed,Right-arm fast,T20 International,15,2,0,15,14 v IND,0,0,0,2,7.50,136.36,4,0,0,0,15,54,0,385,25,5/21 v WI,2,1,15.40,7.12,12.96,15
Rahul Tewatia,GT,https://sports.ndtv.com/cricket/players/64845-rahul-tewatia-playerprofile,All-Rounder ,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubman Gill,GT,https://sports.ndtv.com/cricket/players/108578-shubman-gill-playerprofile,Batsman ,8.00,Shubman Gill,"September 8, 1999 Fazilka, Punjab","22 Years, 6 Months, 8 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed Shami,GT,https://sports.ndtv.com/cricket/players/1580-shami-ahmed-playerprofile,Bowler ,6.25,Mohammed Shami Ahmed,"September 3, 1990 Amroha, Uttar Pradesh","31 Years, 6 Months, 12 Days",India,Right Handed,Right-arm fast,T20 International,17,2,2,0,0 v ENG,0,0,0,0,,0.00,1,0,2,0,17,59.3,1,568,18,3/15 v SCO,3,0,31.55,9.54,19.83,17
Yash Dayal,GT,https://sports.ndtv.com/cricket/players/115307-yash-dayal-playerprofile,Bowler ,3.20,Yash Dayal,"December 13, 1997 ","24 Years, 3 Months, 2 Days",India,Left Handed,Left-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravisrinivasan Sai Kishore,GT,https://sports.ndtv.com/cricket/players/107511-ravisrinivasan-sai-kishore-playerprofile,Bowler ,3.00,Ravisrinivasan Sai Kishore,"November 6, 1996 Chennai, Tamil Nadu","25 Years, 4 Months, 9 Days",India,Left Handed,Slow left-arm orthodox,T20 Domestic,40,16,4,111,31 v LKK,0,0,10,1,9.25,96.52,14,0,4,4,40,158,7,960,55,5/13 v ITT,2,1,17.45,6.07,17.23,40
David Miller,GT,https://sports.ndtv.com/cricket/players/1274-david-miller-playerprofile,Batsman ,3.00,David Andrew Miller,"June 10, 1989 Pietermaritzburg, Natal","32 Years, 9 Months, 5 Days",South Africa,Left Handed,Off break,,95,83,27,1786,101* v BAN,1,4,119,79,31.89,140.63,70,1,0,4,,,,,,,,,,,,
Abhinav Manohar,GT,https://sports.ndtv.com/cricket/players/64145-abhinav-manohar-playerprofile,Batsman ,2.60,Abhinav Manohar Sadarangani,"September 16, 1994 Bangalore","27 Years, 6 Months, -1 Days",India,Right Handed,Leg break googly,T20 Domestic,20,18,3,424,62* v BT,0,2,29,28,28.26,151.97,7,0,3,1,2,3,0,26,0,0/10 v BP,0,0,,8.66,,2
Alzarri Joseph,GT,https://sports.ndtv.com/cricket/players/64674-alzarri-joseph-playerprofile,Bowler ,2.40,Alzarri Shaheim Joseph,"November 20, 1996 Antigua","25 Years, 3 Months, 25 Days",West Indies,Right Handed,Right-arm fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Wade,GT,https://sports.ndtv.com/cricket/players/1010-matthew-wade-playerprofile,Wicket-Keeper ,2.40,Matthew Scott Wade,"December 26, 1987 Hobart, Tasmania","34 Years, 2 Months, 21 Days",Australia,Left Handed,Right-arm medium,,60,45,9,789,80 v IND,0,3,57,32,21.91,129.34,38,4,1,4,,,,,,,,,,,,
Jason Roy,GT,https://sports.ndtv.com/cricket/players/16312-jason-jonathan-roy-playerprofile,Batsman ,2.00,Jason Jonathan Roy,"July 21, 1990 Durban, South Africa","31 Years, 7 Months, 25 Days",England,Right Handed,,,57,57,1,1438,78 v NZ,0,8,147,67,25.67,143.37,15,0,6,1,,,,,,,,,,,,
Wriddhiman Saha,GT,https://sports.ndtv.com/cricket/players/1088-wriddhiman-saha-playerprofile,Wicket-Keeper ,1.90,Wriddhiman Prasanta Saha,"October 24, 1984 Shaktigarh","37 Years, 4 Months, 22 Days",India,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayant Yadav,GT,https://sports.ndtv.com/cricket/players/60086-jayant-yadav-playerprofile,All-Rounder ,1.70,Jayant Yadav,"January 22, 1990 Delhi","32 Years, 1 Months, 21 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vijay Shankar,GT,https://sports.ndtv.com/cricket/players/62197-vijay-shankar-playerprofile,All-Rounder ,1.40,Vijay Shankar,"January 26, 1991 Tirunelveli, Tamil Nadu","31 Years, 1 Months, 18 Days",India,Right Handed,Right-arm medium,T20 International,9,4,0,101,43 v NZ,0,0,11,5,25.25,138.35,2,0,0,0,6,21,0,191,5,2/32 v BAN,0,0,38.20,9.09,25.20,6
Dominic Drakes,GT,https://sports.ndtv.com/cricket/players/114349-dominic-drakes-playerprofile,All-Rounder ,1.10,Dominic Conneil Drakes,"February 6, 1998 ","24 Years, 1 Months, 6 Days",West Indies,Left Handed,Left-arm fast medium,T20 International,5,3,0,9,5 v PAK,0,0,2,0,3.00,90.00,,,1,0,5,16,0,177,3,1/37 v IND,0,0,59.00,11.06,32.00,5
Varun Aaron,GT,https://sports.ndtv.com/cricket/players/1252-varun-aaron-playerprofile,Bowler ,0.50,Varun Raymond Aaron,"October 29, 1989 Singhbhum, Bihar (now Jharkhand)","32 Years, 4 Months, 17 Days",India,Right Handed,Right-arm fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurkeerat Singh Mann,GT,https://sports.ndtv.com/cricket/players/1661-gurkeerat-singh-playerprofile,All-Rounder ,0.50,Gurkeerat Rupinder Singh,"June 29, 1990 Muktsar, Punjab","31 Years, 8 Months, 16 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noor Ahmad,GT,https://sports.ndtv.com/cricket/players/112545-noor-ahmad-playerprofile,Bowler ,0.30,Noor Ahmad Lakanwal,"January 3, 2005 ","17 Years, 2 Months, 12 Days",Afghanistan,Right Handed,Slow left-arm chinaman,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darshan Nalkande,GT,https://sports.ndtv.com/cricket/players/110589-darshan-nalkande-playerprofile,All-Rounder ,0.20,Darshan Girish Nalkande,"October 4, 1998 Wardha, Maharashtra","23 Years, 5 Months, 11 Days",India,Right Handed,Right-arm fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sai Sudharsan,GT,https://sports.ndtv.com/cricket/players/115302-sai-sudharsan-playerprofile,All-Rounder ,0.20,Bhardwaj Sai Sudharsan,"October 15, 2001 ","20 Years, 5 Months, 0 Days",India,Left Handed,Leg break,,8,8,3,358,87 v SS,0,5,30,11,71.60,143.77,7,0,1,2,,,,,,,,,,,,
Pradeep Sangwan,GT,https://sports.ndtv.com/cricket/players/1047-pradeep-sangwan-playerprofile,All-Rounder ,0.20,Pradeep Jaibeer Sangwan,"November 5, 1990 Rasiwas, Delhi","31 Years, 4 Months, 10 Days",India,Right Handed,Left-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
