Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Vaibhav Arora,PBKS,https://sports.ndtv.com/cricket/players/113442-vaibhav-arora-playerprofile,Bowler ,2.00,Vaibhav Gopal Arora,"December 14, 1997 Himachal Pradesh","24 Years, 3 Months, 1 Days",India,Right Handed,Right-arm fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raj Bawa,PBKS,https://sports.ndtv.com/cricket/players/114984-raj-angad-bawa-playerprofile,All-Rounder ,2.00,Raj Angad Bawa,"November 12, 2002 Nahan, Himachal Pradesh","19 Years, 4 Months, 3 Days",India,Left Handed,Right-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Ellis,PBKS,https://sports.ndtv.com/cricket/players/113454-nathan-ellis-playerprofile,Bowler ,0.75,Nathan Ellis,"September 22, 1994 Greenacre, New South Wales","27 Years, 5 Months, 23 Days",Australia,Right Handed,Right-arm fast medium,IPL,3,2,1,18,12 v SRH,0,0,0,1,18.00,112.50,,,0,0,3,11,0,90,1,1/12 v MI,0,0,90.00,8.18,66.00,3
Prabhsimran Singh,PBKS,https://sports.ndtv.com/cricket/players/110976-simran-singh-playerprofile,Wicket-Keeper ,0.60,Prabhsimran Singh,"August 10, 2000 ","21 Years, 7 Months, 5 Days",India,Right Handed,,,5,5,0,50,16 v SRH,0,0,4,2,10.00,90.90,2,0,0,0,,,,,,,,,,,,
Rishi Dhawan,PBKS,https://sports.ndtv.com/cricket/players/1131-rishi-dhawan-playerprofile,All-Rounder ,0.55,Rishi Dhawan,"February 19, 1990 Mandi, Himachal Pradesh","32 Years, 0 Months, 24 Days",India,Right Handed,Right-arm medium fast,IPL,26,17,10,153,25* v CSK,0,0,13,4,21.85,113.33,6,0,2,1,25,81.2,1,640,18,2/14 v RCB,0,0,35.55,7.86,27.11,25
Bhanuka Rajapaksa,PBKS,https://sports.ndtv.com/cricket/players/43735-pramod-bhanuka-bandara-rajapaksa-playerprofile,Batsman ,0.50,Pramod Bhanuka Bandara Rajapaksa,"October 24, 1991","30 Years, 4 Months, 23 Days",Sri Lanka,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandeep Sharma,PBKS,https://sports.ndtv.com/cricket/players/1431-sandeep-sharma-playerprofile,Bowler ,0.50,Sandeep Sharma,"May 18, 1993 Patiala, Punjab","28 Years, 9 Months, 28 Days",India,Right Handed,Right-arm medium,IPL,99,25,19,52,9 v RCB,0,0,4,0,8.66,81.25,12,0,9,1,99,366.2,8,2849,112,4/20 v DC,9,0,25.43,7.77,19.62,99
Benny Howell,PBKS,https://sports.ndtv.com/cricket/players/45414-benny-alexander-cameron-howell-playerprofile,All-Rounder ,0.40,Benny Alexander Cameron Howell,"October 05, 1988","33 Years, 5 Months, 10 Days",England,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ishan Porel,PBKS,https://sports.ndtv.com/cricket/players/108572-ishan-porel-playerprofile,Bowler ,0.25,Ishan Chandranath Porel,"September 5, 1998 Hooghly, Bengal","23 Years, 6 Months, 10 Days",India,Right Handed,Right-arm medium,IPL,1,0,0,,,0,0,0,0,,0.00,,,0,0,1,4,0,39,1,1/39 v RR,0,0,39.00,9.75,24.00,1
Prerak Mankad,PBKS,https://sports.ndtv.com/cricket/players/107510-prerak-mankad-playerprofile,All-Rounder ,0.20,Prerak Nileshkumar Mankad,"April 23, 1994 Sirohi, Saurashtra","27 Years, 10 Months, 22 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atharva Taide,PBKS,https://sports.ndtv.com/cricket/players/110595-atharwa-taide-playerprofile,All-Rounder ,0.20,Atharva Taide,"April 26, 2000 Akola Maharashtra","21 Years, 10 Months, 19 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ansh Patel,PBKS,https://sports.ndtv.com/cricket/players/113486-ansh-p-patel-playerprofile,All-Rounder ,0.20,Ansh Pradipkumar Patel,"February 19, 2002 Vadodara, Gujarat","20 Years, 0 Months, 24 Days",India,Right Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jitesh Sharma,PBKS,https://sports.ndtv.com/cricket/players/106754-jitesh-sharma-playerprofile,Wicket-Keeper ,0.20,Jitesh Mohan Sharma,"October 22, 1993 Amrawati, Maharashtra","28 Years, 4 Months, 24 Days",India,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writtick Chatterjee,PBKS,https://sports.ndtv.com/cricket/players/64856-writtick-bijoy-chatterjee-playerprofile,All-Rounder ,0.20,Writtick Bijoy Chatterjee,"September 28, 1992 Jamtara, Bengal","29 Years, 5 Months, 17 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltej Singh,PBKS,https://sports.ndtv.com/cricket/players/59711-baltej-singh-dhanda-playerprofile,Bowler ,0.20,Baltej Singh Dhanda,"November 4, 1990 Ludhiana, Punjab","31 Years, 4 Months, 11 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kane Williamson,SRH,https://sports.ndtv.com/cricket/players/1058-kane-williamson-playerprofile,Batsman ,14.00,Kane Stuart Williamson,"August 8, 1990 Tauranga","31 Years, 7 Months, 7 Days",New Zealand,Right Handed,Off break,IPL,63,62,15,1885,89 v DC,0,17,165,56,40.10,131.26,29,0,1,3,2,3,0,31,0,0/7 v KKR,0,0,,10.33,,2
Nicholas Pooran,SRH,https://sports.ndtv.com/cricket/players/1720-nicolas-pooran-playerprofile,Wicket-Keeper ,10.75,Nicholas Pooran,"October 2, 1995 Trinidad","26 Years, 5 Months, 14 Days",West Indies,Left Handed,,,33,31,4,606,77 v SRH,0,2,35,44,22.44,154.98,11,0,5,1,,,,,,,,,,,,
Washington Sundar,SRH,https://sports.ndtv.com/cricket/players/108593-washington-sundar-playerprofile,All-Rounder ,8.75,Washington Sundar,"October 5, 1999 Chennai, Tamil Nadu","22 Years, 5 Months, 11 Days",India,Left Handed,Off break,IPL,42,26,10,217,35 v RR,0,0,17,6,13.56,111.28,9,0,4,0,41,125,1,867,27,3/16 v MI,2,0,32.11,6.93,27.77,41
Rahul Tripathi,SRH,https://sports.ndtv.com/cricket/players/12218-rahul-ajay-tripathi-playerprofile,Batsman ,8.50,Rahul Ajay Tripathi,"March 2, 1991 Ranchi, Jharkhand","31 Years, 0 Months, 14 Days",India,Right Handed,Right-arm medium,IPL,62,60,7,1385,93 v KKR,0,7,136,48,26.13,136.31,23,0,1,4,1,1,0,12,0,0/12 v KKR,0,0,,12.00,,1
Romario Shepherd,SRH,https://sports.ndtv.com/cricket/players/112280-romario-shepherd-playerprofile,All-Rounder ,7.75,Romario Shepherd,"November 26, 1994 Guyana","27 Years, 3 Months, 19 Days",West Indies,Right Handed,Right-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhishek Sharma,SRH,https://sports.ndtv.com/cricket/players/108562-abhishek-sharma-playerprofile,All-Rounder ,6.50,Abhishek Sharma,"September 4, 2000 Amritsar, Punjab","21 Years, 6 Months, 11 Days",India,Left Handed,Slow left-arm orthodox,IPL,22,20,6,241,46* v RCB,0,0,17,12,17.21,139.30,5,0,0,1,14,22,0,176,7,2/4 v MI,0,0,25.14,8.00,18.85,14
Bhuvneshwar Kumar,SRH,https://sports.ndtv.com/cricket/players/1250-bhuvneshwar-kumar-playerprofile,Bowler ,4.20,Bhuvneshwar Kumar Singh,"February 5, 1990 Meerut, Uttar Pradesh","32 Years, 1 Months, 7 Days",India,Right Handed,Right-arm medium,IPL,132,51,25,217,24* v CSK,0,0,20,3,8.34,96.87,27,0,9,4,132,491.3,9,3588,142,5/19 v PBKS,9,1,25.26,7.30,20.76,132
Marco Jansen,SRH,https://sports.ndtv.com/cricket/players/113406-marco-jansen-playerprofile,All-Rounder ,4.20,Marco Jansen,"May 1, 2000 Potchefstroom, North West, South Africa","21 Years, 10 Months, 14 Days",South Africa,Right Handed,Left-arm fast,IPL,2,2,0,0,0 v KKR,0,0,0,0,0.00,0.00,1,0,2,0,2,6,0,45,2,2/28 v RCB,0,0,22.50,7.50,18.00,2
Umran Malik,SRH,https://sports.ndtv.com/cricket/players/113473-umran-malik-playerprofile,Bowler ,4.00,Umran Malik,"November 22, 1999 Srinagar, Jammu & Kashmir","22 Years, 3 Months, 24 Days",India,Right Handed,Right-arm medium fast,IPL,3,0,0,,,0,0,0,0,,0.00,,,0,0,3,12,0,96,2,1/21 v RCB,0,0,48.00,8.00,36.00,3
Abdul Samad,SRH,https://sports.ndtv.com/cricket/players/113179-abdul-samad-playerprofile,Batsman ,4.00,Abdul Samad Farooq,"October 28, 2001 Kala Kot, Jammu & Kashmir","20 Years, 4 Months, 18 Days",India,Right Handed,Leg break,IPL,23,18,4,222,33 v DC,0,0,12,14,15.85,146.05,13,0,2,1,4,8,0,105,2,1/9 v PBKS,0,0,52.50,13.12,24.00,4
T Natarajan,SRH,https://sports.ndtv.com/cricket/players/107525-t-natarajan-playerprofile,Bowler ,4.00,Thangarasu Natarajan,"May 27, 1991 Salem","30 Years, 9 Months, 20 Days",India,Left Handed,Left-arm medium,IPL,24,4,4,3,3* v RCB,0,0,0,0,,60.00,3,0,3,0,24,83.3,1,688,20,2/24 v PBKS,0,0,34.40,8.23,25.05,24
Kartik Tyagi,SRH,https://sports.ndtv.com/cricket/players/108595-kartik-tyagi-playerprofile,Bowler ,4.00,Kartik Tyagi,"November 8, 2000 Hapur, Uttar Pradesh","21 Years, 4 Months, 7 Days",India,Right Handed,Right-arm medium fast,IPL,14,5,3,6,2* v DC,0,0,0,0,3.00,60.00,3,0,1,0,14,52.1,0,491,13,2/29 v PBKS,0,0,37.76,9.41,24.07,14
Aiden Markram,SRH,https://sports.ndtv.com/cricket/players/64634-aiden-kyle-markram-playerprofile,Batsman ,2.60,Aiden Kyle Markram,"October 4, 1994 Centurion","27 Years, 5 Months, 11 Days",South Africa,Right Handed,Off break,IPL,6,6,1,146,42 v MI,0,0,12,4,29.20,122.68,3,0,0,0,2,4,0,23,0,0/5 v RCB,0,0,,5.75,,2
Sean Abbott,SRH,https://sports.ndtv.com/cricket/players/106719-sean-abbott-playerprofile,Bowler ,2.40,Sean Anthony Abbott,"February 29, 1992 Windsor, New South Wales","30 Years, 0 Months, 15 Days",Australia,Right Handed,Right-arm fast medium,IPL,2,2,0,15,14 v SRH,0,0,1,1,7.50,115.38,,,0,1,2,5,0,57,0,0/21 v SRH,0,0,,11.40,,2
Glenn Phillips,SRH,https://sports.ndtv.com/cricket/players/107472-glenn-phillips-playerprofile,Wicket-Keeper ,1.50,Glenn Dominic Phillips,"December 6, 1996 East London, Eastern Cape","25 Years, 3 Months, 9 Days",New Zealand,Right Handed,Off break,IPL,3,3,1,26,14* v CSK,0,0,1,2,13.00,78.78,1,0,0,0,2,2,0,20,1,1/17 v KKR,0,0,20.00,10.00,12.00,2
Shreyas Gopal,SRH,https://sports.ndtv.com/cricket/players/51296-shreyas-gopal-playerprofile,Bowler ,0.75,Shreyas Gopal,"September 4, 1993 Banglaore, Karnataka","28 Years, 6 Months, 11 Days",India,Right Handed,Leg break,IPL,48,21,7,171,24 v PBKS,0,0,17,2,12.21,105.55,11,0,4,2,47,155.1,1,1247,48,4/16 v RCB,4,0,25.97,8.03,19.39,47
Fazalhaq Farooqi,SRH,https://sports.ndtv.com/cricket/players/112535-fazal-haque-playerprofile,Bowler ,0.50,Fazalhaq Farooqi,"September 22, 2000 Baghlan","21 Years, 5 Months, 23 Days",Afghanistan,Right Handed,Left-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vishnu Vinod,SRH,https://sports.ndtv.com/cricket/players/107531-vishnu-vinod-playerprofile,Wicket-Keeper ,0.50,Vishnu Vinod,"December 2, 1993 Pathanamthitta, Kerala","28 Years, 3 Months, 13 Days",India,Right Handed,,,3,3,0,19,9 v DC,0,0,1,1,6.33,73.07,0,2,0,1,,,,,,,,,,,,
Priyam Garg,SRH,https://sports.ndtv.com/cricket/players/110579-priyam-garg-playerprofile,Batsman ,0.20,Priyam K Garg,"November 30, 2000 Meerut, Uttar Pradesh","21 Years, 3 Months, 15 Days",India,Right Handed,Right-arm medium,,19,15,1,205,51* v CSK,0,1,11,7,14.64,110.81,6,0,2,1,,,,,,,,,,,,
Saurabh Dubey,SRH,https://sports.ndtv.com/cricket/players/113468-saurabh-dubey-playerprofile,Bowler ,0.20,Saurabh Dubey,"January 23, 1998 ","24 Years, 1 Months, 20 Days",India,Right Handed,Left-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagadeesha Suchith,SRH,https://sports.ndtv.com/cricket/players/106726-jagadeesha-suchith-playerprofile,Bowler ,0.20,Jagadeesha Suchith,"January 16, 1994 Mysore","28 Years, 2 Months, -1 Days",India,Left Handed,Slow left-arm orthodox,IPL,17,8,6,68,34* v PBKS,0,0,6,3,34.00,128.30,9,0,2,1,16,52,0,462,12,2/14 v SRH,0,0,38.50,8.88,26.00,16
Shashank Singh,SRH,https://sports.ndtv.com/cricket/players/63951-shashank-singh-playerprofile,All-Rounder ,0.20,Shashank Singh,"November 21, 1991 Bhilai","30 Years, 3 Months, 25 Days",India,Right Handed,Off break,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravikumar Samarth,SRH,https://sports.ndtv.com/cricket/players/63978-ravikumar-samarth-playerprofile,Batsman ,0.20,Ravikumar Samarth,"January 22, 1993","29 Years, 1 Months, 21 Days",India,,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanju Samson,RR,https://sports.ndtv.com/cricket/players/1701-sanju-samson-playerprofile,Wicket-Keeper ,14.00,Sanju Viswanath Samson,"November 11, 1994 Pulluvila, Vizhinjam, Trivandrum","27 Years, 4 Months, 4 Days",India,Right Handed,,,121,117,12,3068,119 v PBKS,3,15,236,132,29.21,134.20,59,10,8,6,,,,,,,,,,,,
Prasidh Krishna,RR,https://sports.ndtv.com/cricket/players/107509-prasidh-krishna-playerprofile,Bowler ,10.00,Muralikrishna Prasidh Krishna,"February 19, 1996 Bangalore, Karnataka","26 Years, 0 Months, 25 Days",India,Right Handed,Right-arm medium fast,IPL,34,7,5,3,2* v RCB,0,0,0,0,1.50,25.00,7,0,5,1,34,124.2,0,1152,30,4/30 v SRH,2,0,38.40,9.26,24.86,34
Jos Buttler,RR,https://sports.ndtv.com/cricket/players/1367-jos-buttler-playerprofile,Wicket-Keeper ,10.00,Joseph Charles Buttler,"September 8, 1990 Taunton, Somerset","31 Years, 6 Months, 7 Days",England,Right Handed,,,65,64,8,1968,124 v SRH,1,11,194,90,35.14,150.00,34,1,1,3,,,,,,,,,,,,
Shimron Hetmyer,RR,https://sports.ndtv.com/cricket/players/107627-shimron-hetmyer-playerprofile,Batsman ,8.50,Shimron Odilon Hetmyer,"December 26, 1996 Cumberland, Berbice","25 Years, 2 Months, 20 Days",West Indies,Left Handed,,,31,29,9,517,75 v SRH,0,2,34,31,25.85,151.17,14,0,3,2,,,,,,,,,,,,
Trent Boult,RR,https://sports.ndtv.com/cricket/players/1061-trent-boult-playerprofile,Bowler ,8.00,Trent Alexander Boult,"July 22, 1989 Rotorua","32 Years, 7 Months, 24 Days",New Zealand,Right Handed,Left-arm fast medium,IPL,62,10,7,13,6 v CSK,0,0,0,1,4.33,68.42,23,0,6,0,62,236.1,5,1983,76,4/18 v CSK,5,0,26.09,8.39,18.64,62
Devdutt Padikkal,RR,https://sports.ndtv.com/cricket/players/110591-devdutt-padikkal-playerprofile,Batsman ,7.75,Devdutt Babunu Padikkal,"July 7, 2000 Edapal, Kerala","21 Years, 8 Months, 8 Days",India,Left Handed,Off break,,29,29,1,884,101* v RR,1,6,95,22,31.57,125.03,15,0,2,1,,,,,,,,,,,,
Yuzvendra Chahal,RR,https://sports.ndtv.com/cricket/players/1394-yuzvendra-chahal-playerprofile,Bowler ,6.50,Yuzvendra Singh Chahal,"July 23, 1990 Jind, Haryana, India","31 Years, 7 Months, 23 Days",India,Right Handed,Leg break googly,IPL,114,18,12,32,8* v CSK,0,0,0,0,5.33,41.02,24,0,5,2,113,408,4,3097,139,4/25 v PBKS,9,0,22.28,7.59,17.61,113
Ravichandran Ashwin,RR,https://sports.ndtv.com/cricket/players/1109-ravichandran-ashwin-playerprofile,All-Rounder ,5.00,Ravichandran Ashwin,"September 17, 1986 Chennai, Tamil Nadu","35 Years, 5 Months, 28 Days",India,Right Handed,Off break,IPL,167,63,22,456,45 v KKR,0,0,37,12,11.12,109.88,37,0,15,5,164,583,4,4031,145,4/34 v PBKS,6,0,27.80,6.91,24.12,164
Yashasvi Jaiswal,RR,https://sports.ndtv.com/cricket/players/112646-yashasvi-jaiswal-playerprofile,Batsman ,4.00,Yashasvi Bhupendra Kumar Jaiswal,"December 28, 2001 Suriya, Uttar Pradesh","20 Years, 2 Months, 18 Days",India,Left Handed,Leg break,,13,13,0,289,50 v CSK,0,1,34,12,22.23,136.32,4,0,2,0,,,,,,,,,,,,
Riyan Parag,RR,https://sports.ndtv.com/cricket/players/108566-riyan-parag-playerprofile,All-Rounder ,3.80,Riyan Parag,"November 10, 2001 Guwahati, Assam","20 Years, 4 Months, 5 Days",India,Right Handed,Leg break,IPL,30,23,3,339,50 v DC,0,1,29,12,16.95,118.53,12,0,3,2,15,22.1,0,221,3,1/7 v PBKS,0,0,73.66,9.96,44.33,15
Navdeep Saini,RR,https://sports.ndtv.com/cricket/players/64853-navdeep-amarjeet-saini-playerprofile,Bowler ,2.60,Navdeep Amarjeet Saini,"November 23, 1992 Karnal, Haryana","29 Years, 3 Months, 22 Days",India,Right Handed,Right-arm fast,IPL,28,6,3,31,12* v DC,0,0,3,0,10.33,88.57,6,0,1,0,28,97.4,1,828,17,2/24 v DC,0,0,48.70,8.47,34.47,28
Nathan Coulter-Nile,RR,https://sports.ndtv.com/cricket/players/1424-nathan-coulter-nile-playerprofile,Bowler ,2.00,Nathan Mitchell Coulter-Nile,"October 11, 1987 Osborne Park, Western Australia","34 Years, 5 Months, 5 Days",Australia,Right Handed,Right-arm fast,IPL,38,16,5,81,24* v PBKS,0,0,7,4,7.36,115.71,12,0,1,1,37,139.5,1,1052,48,4/14 v RR,5,0,21.91,7.52,17.47,37
James Neesham,RR,https://sports.ndtv.com/cricket/players/1441-james-neesham-playerprofile,All-Rounder ,1.50,James Douglas Sheahan Neesham,"September 17, 1990 Auckland","31 Years, 5 Months, 28 Days",New Zealand,Left Handed,Right-arm medium fast,IPL,12,8,1,61,22 v CSK,0,0,3,2,8.71,92.42,1,0,2,0,12,33,0,305,8,3/12 v RR,1,0,38.12,9.24,24.75,12
Karun Nair,RR,https://sports.ndtv.com/cricket/players/1708-karun-nair-playerprofile,Batsman ,1.40,Karun Kaladharan Nair,"December 6, 1991 Jodhpur, Rajasthan","30 Years, 3 Months, 10 Days",India,Right Handed,Off break,,73,66,5,1480,83* v SRH,0,10,160,39,24.26,128.36,22,0,3,1,,,,,,,,,,,,
Rassie van der Dussen,RR,https://sports.ndtv.com/cricket/players/1541-rassie-van-der-dussen-playerprofile,Batsman ,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obed McCoy,RR,https://sports.ndtv.com/cricket/players/110382-obed-mccoy-playerprofile,Bowler ,0.75,Obed Christopher McCoy,"January 4, 1997 ","25 Years, 2 Months, 11 Days",West Indies,Left Handed,Left-arm medium fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daryl Mitchell,RR,https://sports.ndtv.com/cricket/players/50709-daryl-joseph-mitchell-playerprofile,All-Rounder ,0.75,Daryl Joseph Mitchell,"May 20, 1991 Hamilton","30 Years, 9 Months, 27 Days",New Zealand,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KC Cariappa,RR,https://sports.ndtv.com/cricket/players/107051-kc-cariappa-playerprofile,Bowler ,0.30,Konganda Charamanna Cariappa,"April 13, 1994 Bangalore, Karnataka","27 Years, 11 Months, 2 Days",India,Right Handed,Leg break,IPL,11,5,2,24,12* v RCB,0,0,0,2,8.00,114.28,3,0,0,0,11,36,0,348,8,2/16 v RCB,0,0,43.50,9.66,27.00,11
Tejas Baroka,RR,https://sports.ndtv.com/cricket/players/107535-tejas-baroka-playerprofile,Bowler ,0.20,Tejas Singh Baroka,"February 1, 1996 Pondicherry","26 Years, 1 Months, 12 Days",India,Right Handed,Leg break googly,IPL,1,0,0,,,0,0,0,0,,0.00,,,0,0,1,3.3,0,33,0,0/33 v SRH,0,0,,9.42,,1
Kuldip Yadav,RR,https://sports.ndtv.com/cricket/players/108618-kuldip-yadav-playerprofile,Bowler ,0.20,Kuldip Yadav,"October 15, 1996 ","25 Years, 5 Months, 0 Days",India,Left Handed,Left-arm medium fast,IPL,1,1,1,0,0* v MI,0,0,0,0,,0.00,,,1,0,1,2,0,16,0,0/16 v MI,0,0,,8.00,,1
Dhruv Jurel,RR,https://sports.ndtv.com/cricket/players/112648-dhruv-jurel-playerprofile,Wicket-Keeper ,0.20,Dhruv Chand Jurel,"January 21, 2001 Agra, Uttar Pradesh","21 Years, 1 Months, 22 Days",India,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuldeep Sen,RR,https://sports.ndtv.com/cricket/players/110603-kuldeep-sen-playerprofile,Bowler ,0.20,Kuldeep Rampal Sen,"October 22, 1996 Rewa, Madhya Pradesh, India","25 Years, 4 Months, 24 Days",India,Right Handed,Right-arm fast medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubham Garhwal,RR,https://sports.ndtv.com/cricket/players/115354-shubham-garhwal-playerprofile,All-Rounder ,0.20,Shubham Shankar Garhwal,"May 14, 1995 Jodhpur, Rajasthan","26 Years, 10 Months, 2 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anunay Singh,RR,https://sports.ndtv.com/cricket/players/115306-anunay-singh-playerprofile,All-Rounder ,0.20,Anunay Narayan Singh,"January 3, 1993 Vaishali, Bihar","29 Years, 2 Months, 12 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virat Kohli,RCB,https://sports.ndtv.com/cricket/players/967-virat-kohli-playerprofile,Batsman ,15.00,Virat Kohli,"November 5, 1988 Delhi","33 Years, 4 Months, 10 Days",India,Right Handed,Right-arm medium,IPL,207,199,31,6283,113 v PBKS,5,42,546,210,37.39,129.94,84,0,6,7,26,41.5,0,368,4,2/25 v DCH,0,0,92.00,8.79,62.75,26
Glenn Maxwell,RCB,https://sports.ndtv.com/cricket/players/1423-glenn-maxwell-playerprofile,All-Rounder ,11.00,Glenn James Maxwell,"October 14, 1988 Kew, Melbourne, Victoria","33 Years, 5 Months, 1 Days",Australia,Right Handed,Off break,IPL,97,93,13,2018,95 v CSK,0,12,166,112,25.22,151.84,35,0,12,4,56,107,0,915,22,2/15 v RCB,0,0,41.59,8.55,29.18,56
